country,food_category,consumption,co2_emission
Slovenia,5,235.01,334.75
Slovenia,11,103.43,19.72
Slovenia,9,3.95,5.05
Slovenia,10,0.75,0.34
Slovenia,6,5.28,9.35
Chile,7,24.68,87.35
Chile,8,36.52,39.23
Chile,1,23.86,736.27
Chile,4,0.42,14.71
Chile,3,7.65,12.21
Chile,2,9.97,9.16
Chile,5,116.11,165.39
Chile,11,104.74,19.97
Chile,9,8.85,11.33
Chile,10,0.04,0.02
Chile,6,2.22,3.93
Venezuela,7,7.23,25.59
Venezuela,8,39.28,42.19
Venezuela,1,25.89,798.91
Venezuela,4,0.32,11.21
Venezuela,3,8.34,13.32
Venezuela,2,5.63,5.17
Venezuela,5,117.79,167.78
Venezuela,11,49.17,9.38
Venezuela,9,23.39,29.93
Venezuela,10,0,0
Venezuela,6,0.35,0.62
Belgium,7,38.65,136.8
Belgium,8,12.2,13.11
Belgium,1,15.63,482.31
Belgium,4,1.32,46.23
Belgium,3,18.97,30.29
Belgium,2,12.59,11.57
Belgium,5,236.19,336.43
Belgium,11,111.91,21.34
Belgium,9,8.61,11.02
Belgium,10,0.07,0.03
Belgium,6,7.32,12.96
Germany,7,51.81,183.38
Germany,8,17.75,19.07
Germany,1,13.16,406.09
Germany,4,0.73,25.56
Germany,3,11.16,17.82
Germany,2,12.2,11.21
Germany,5,258.7,368.49
Germany,11,83.41,15.91
Germany,9,3.34,4.27
Germany,10,0.88,0.4
Germany,6,7.96,14.09
Russia,7,25.66,90.82
Russia,8,27.5,29.54
Russia,1,16.98,523.97
Russia,4,1.4,49.03
Russia,3,20.82,33.24
Russia,2,15.43,14.17
Russia,5,163.57,232.99
Russia,11,130.99,24.98
Russia,9,4.71,6.03
Russia,10,0.05,0.02
Russia,6,1.62,2.87
Croatia,7,42.79,151.46
Croatia,8,8.52,9.15
Croatia,1,12.41,382.95
Croatia,4,1.71,59.88
Croatia,3,15.83,25.28
Croatia,2,8.48,7.79
Croatia,5,231.02,329.06
Croatia,11,106.59,20.33
Croatia,9,2.64,3.38
Croatia,10,0,0
Croatia,6,3.88,6.87
Belarus,7,40.37,142.89
Belarus,8,31.29,33.61
Belarus,1,17.11,527.98
Belarus,4,0.11,3.85
Belarus,3,15.75,25.15
Belarus,2,15.86,14.57
Belarus,5,133.73,190.49
Belarus,11,60.48,11.53
Belarus,9,3.17,4.06
Belarus,10,0.3,0.14
Belarus,6,3.36,5.95
Spain,7,48.92,173.15
Spain,8,28.63,30.75
Spain,1,12.15,374.92
Spain,4,2.16,75.64
Spain,3,28.83,46.03
Spain,2,13.32,12.24
Spain,5,164.29,234.01
Spain,11,93.88,17.9
Spain,9,8.32,10.65
Spain,10,0.02,0.01
Spain,6,7.44,13.17
Paraguay,7,26.24,92.88
Paraguay,8,6.39,6.86
Paraguay,1,19.81,611.29
Paraguay,4,0.56,19.61
Paraguay,3,3.6,5.75
Paraguay,2,18.83,17.3
Paraguay,5,75.72,107.86
Paraguay,11,31.51,6.01
Paraguay,9,4.91,6.28
Paraguay,10,0,0
Paraguay,6,1.6,2.83
New Caledonia,7,19.9,70.44
New Caledonia,8,44.36,47.65
New Caledonia,1,16.07,495.89
New Caledonia,4,1.95,68.29
New Caledonia,3,19.38,30.94
New Caledonia,2,8.85,8.13
New Caledonia,5,108,153.84
New Caledonia,11,81.75,15.59
New Caledonia,9,17.47,22.36
New Caledonia,10,0.55,0.25
New Caledonia,6,2.96,5.24
South Africa,7,4.16,14.72
South Africa,8,37.57,40.36
South Africa,1,18.03,556.37
South Africa,4,4.28,149.89
